From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2022-02-28 23:00:00,2022-03-01 00:00:00,45.0,63.0,2.67,30.6,18.47,5.4,9.53,0.7,17.4,0.67,1.37,29.27,54.33,0.4,,12.33,,-0.1,0.27,0.0,21.13
2022-03-01 00:00:00,2022-03-01 01:00:00,26.75,31.0,1.72,30.43,17.57,2.0,4.72,0.59,27.75,0.45,0.78,29.15,42.25,0.33,,10.0,,-0.1,0.18,0.0,21.27
2022-03-01 01:00:00,2022-03-01 02:00:00,13.25,22.0,1.4,29.23,16.68,1.82,1.12,0.52,32.38,0.4,0.68,29.15,36.5,0.32,,10.0,,-0.1,0.1,0.0,21.27
2022-03-01 02:00:00,2022-03-01 03:00:00,11.0,13.0,1.85,24.67,14.65,2.72,0.95,0.48,38.95,0.2,0.45,29.12,36.75,0.4,,10.0,,-0.1,0.1,0.0,21.07
2022-03-01 03:00:00,2022-03-01 04:00:00,,,2.6,21.77,13.07,7.22,1.07,0.59,22.33,0.05,0.47,29.4,41.0,0.38,,10.0,,-0.1,0.1,0.0,21.22
2022-03-01 04:00:00,2022-03-01 05:00:00,,,2.05,26.32,15.67,4.8,1.0,0.62,18.88,0.0,0.4,29.07,50.5,0.35,,10.0,,-0.1,0.1,0.0,20.93
2022-03-01 05:00:00,2022-03-01 06:00:00,,,2.12,27.25,16.25,3.95,1.43,0.64,16.15,0.0,0.47,29.07,53.0,0.4,,10.0,,-0.1,0.1,0.0,20.88
2022-03-01 06:00:00,2022-03-01 07:00:00,,,1.65,28.35,16.45,5.2,3.25,0.69,14.77,0.2,0.47,29.05,53.75,0.35,,15.75,,-0.1,0.1,0.0,20.92
2022-03-01 07:00:00,2022-03-01 08:00:00,18.0,29.0,1.5,30.15,17.22,4.77,4.67,0.8,14.88,0.4,0.58,29.53,54.75,0.38,,86.5,,-0.1,0.1,0.0,21.77
2022-03-01 08:00:00,2022-03-01 09:00:00,19.75,29.5,2.07,29.9,16.47,4.65,4.62,0.88,18.55,0.47,0.9,29.73,49.0,0.7,44.0,265.25,,-0.1,0.1,0.0,24.95
2022-03-01 09:00:00,2022-03-01 10:00:00,24.5,31.75,1.33,30.48,17.27,4.43,4.2,0.81,33.08,0.72,1.48,29.9,40.5,1.05,130.33,420.0,,-0.1,0.28,0.0,25.75
2022-03-01 10:00:00,2022-03-01 11:00:00,21.25,29.75,1.65,26.58,15.5,4.72,3.65,0.58,36.75,0.43,0.88,30.25,35.75,1.32,94.25,535.5,,-0.1,0.2,0.0,26.4
2022-03-01 11:00:00,2022-03-01 12:00:00,17.0,24.75,2.05,24.1,14.5,5.35,4.7,0.63,41.6,0.47,0.85,30.4,38.0,1.5,135.5,589.25,,-0.1,0.12,0.0,26.53
2022-03-01 12:00:00,2022-03-01 13:00:00,21.0,42.75,1.85,19.07,11.13,5.43,2.7,0.67,44.33,0.47,0.82,30.4,35.0,1.43,122.5,578.25,,-0.1,0.12,0.0,26.98
2022-03-01 13:00:00,2022-03-01 14:00:00,22.5,29.75,2.23,18.25,11.5,5.8,3.28,0.69,47.77,0.38,0.62,30.2,36.75,1.42,148.5,73.75,,-0.1,0.12,0.0,26.83
2022-03-01 14:00:00,2022-03-01 15:00:00,19.75,37.0,1.67,17.62,10.75,6.17,5.1,0.69,47.53,1.27,0.55,30.2,39.75,1.62,229.75,64.5,,-0.1,0.1,0.0,26.27
2022-03-01 15:00:00,2022-03-01 16:00:00,24.0,35.75,2.5,19.9,12.62,6.65,5.08,0.76,44.38,1.8,0.53,30.2,44.5,1.25,232.75,40.25,,-0.1,0.1,0.0,26.07
2022-03-01 16:00:00,2022-03-01 17:00:00,23.25,41.75,2.38,19.12,12.1,5.68,4.25,0.66,44.1,0.95,0.58,30.08,47.75,1.35,248.75,43.0,,-0.1,0.12,0.0,25.53
2022-03-01 17:00:00,2022-03-01 18:00:00,28.75,42.75,2.25,18.55,11.7,6.58,4.95,0.62,41.62,0.55,0.5,29.77,47.0,1.15,259.75,22.0,,-0.1,0.1,0.0,24.6
2022-03-01 18:00:00,2022-03-01 19:00:00,26.25,42.5,1.97,22.33,13.5,7.4,6.03,0.81,32.27,0.45,0.75,29.62,56.5,0.92,287.0,11.75,,-0.1,0.15,0.0,23.07
2022-03-01 19:00:00,2022-03-01 20:00:00,30.25,52.75,1.92,22.25,13.38,6.47,4.8,0.95,26.6,0.47,0.82,29.57,64.5,0.93,286.5,10.0,,-0.1,0.1,0.0,21.95
2022-03-01 20:00:00,2022-03-01 21:00:00,29.25,48.5,2.47,26.5,16.1,5.88,5.35,0.94,24.42,0.5,0.95,29.2,57.0,0.62,279.25,10.0,,-0.1,0.15,0.0,21.65
2022-03-01 21:00:00,2022-03-01 22:00:00,23.0,38.0,2.65,30.75,18.5,7.45,5.0,0.86,25.98,0.45,0.9,29.15,42.5,0.43,315.25,10.0,,-0.1,0.2,0.0,21.8
2022-03-01 22:00:00,2022-03-01 23:00:00,21.5,35.25,2.47,34.35,19.48,5.57,4.53,0.79,24.38,0.45,0.88,29.18,38.75,0.35,302.25,10.0,,-0.1,0.18,0.0,21.55
2022-03-01 23:00:00,2022-03-02 00:00:00,24.25,26.0,2.17,35.9,20.38,4.8,4.05,0.68,25.55,0.4,0.65,29.15,36.25,0.32,299.0,11.25,,-0.1,0.1,0.0,21.55
2022-03-02 00:00:00,2022-03-02 01:00:00,18.75,23.25,1.68,33.02,18.93,1.48,2.75,0.47,39.83,0.3,0.47,29.12,35.25,0.5,285.75,13.0,,-0.1,0.1,0.0,21.77
2022-03-02 01:00:00,2022-03-02 02:00:00,16.5,22.75,2.2,24.43,14.75,2.42,2.15,0.44,46.35,0.0,0.2,29.1,35.25,0.45,225.0,13.0,,-0.1,0.1,0.0,21.57
2022-03-02 02:00:00,2022-03-02 03:00:00,12.0,19.0,2.23,15.05,9.8,4.12,2.35,0.42,48.6,0.0,0.1,29.15,35.25,0.45,183.0,13.0,,-0.1,0.1,0.0,21.5
2022-03-02 03:00:00,2022-03-02 04:00:00,,,2.32,15.12,9.95,5.12,2.5,0.43,32.13,0.0,0.0,29.4,35.0,0.35,237.25,13.25,,-0.1,0.1,0.0,21.42
2022-03-02 04:00:00,2022-03-02 05:00:00,11.0,13.0,1.53,20.55,11.2,5.55,3.1,0.43,29.9,0.0,0.0,29.2,36.5,0.3,282.0,13.0,,-0.1,0.1,0.0,21.17
2022-03-02 05:00:00,2022-03-02 06:00:00,11.0,13.0,1.97,25.95,15.42,5.07,2.9,0.47,26.5,0.0,0.1,29.18,38.0,0.35,306.0,13.0,,-0.1,0.1,0.0,20.88
2022-03-02 06:00:00,2022-03-02 07:00:00,18.0,26.0,0.63,32.8,17.72,6.17,4.88,0.64,20.3,0.1,0.23,29.22,40.0,0.38,310.25,16.75,,-0.1,0.1,0.0,20.75
2022-03-02 07:00:00,2022-03-02 08:00:00,18.5,26.75,1.38,36.8,20.65,5.25,5.6,0.72,17.23,0.38,0.58,29.38,41.75,0.45,281.75,85.0,,-0.1,0.1,0.0,21.25
2022-03-02 08:00:00,2022-03-02 09:00:00,18.5,27.0,2.0,36.55,20.6,4.48,5.33,0.68,20.7,0.57,0.9,29.67,38.5,0.93,251.5,259.25,,-0.1,0.15,0.0,24.0
2022-03-02 09:00:00,2022-03-02 10:00:00,13.25,20.5,2.4,32.7,18.83,4.0,4.88,0.67,27.75,0.43,0.9,30.0,39.75,1.05,252.0,350.0,,-0.1,0.15,0.0,24.98
2022-03-02 10:00:00,2022-03-02 11:00:00,11.75,19.75,1.35,27.0,15.42,6.22,4.8,0.72,29.2,0.35,0.85,30.22,39.75,1.25,261.0,467.0,,-0.1,0.2,0.0,25.68
2022-03-02 11:00:00,2022-03-02 12:00:00,14.0,22.0,1.65,17.7,10.8,6.9,5.2,0.72,29.02,0.35,0.85,30.12,39.25,1.38,235.5,507.5,,-0.1,0.12,0.0,26.23
2022-03-02 12:00:00,2022-03-02 13:00:00,18.0,33.0,0.95,15.4,8.2,6.33,7.58,0.68,31.9,0.25,0.65,30.0,40.75,1.27,247.0,517.0,,-0.1,0.12,0.0,26.65
2022-03-02 13:00:00,2022-03-02 14:00:00,18.25,31.0,3.3,14.05,10.15,6.25,10.15,0.72,34.88,0.05,0.58,29.82,42.25,1.45,209.0,124.0,,-0.1,0.1,0.0,26.27
2022-03-02 14:00:00,2022-03-02 15:00:00,18.5,25.25,0.9,13.85,8.1,6.75,7.7,0.72,35.0,0.23,0.45,29.83,44.25,1.28,247.0,113.5,,-0.1,0.12,0.0,25.77
2022-03-02 15:00:00,2022-03-02 16:00:00,16.25,28.0,1.83,16.82,9.38,6.45,7.32,0.74,32.62,0.12,0.57,29.9,46.25,1.3,248.75,76.75,,-0.1,0.1,0.0,25.47
2022-03-02 16:00:00,2022-03-02 17:00:00,11.75,34.75,2.1,16.42,9.82,7.07,6.92,0.79,33.7,0.08,0.38,30.45,51.25,1.2,222.75,53.25,,-0.1,0.1,0.0,24.98
2022-03-02 17:00:00,2022-03-02 18:00:00,12.25,35.5,1.98,16.0,10.15,6.7,6.97,0.82,29.2,0.2,0.38,30.17,52.5,1.35,259.25,26.25,,-0.1,0.12,0.0,23.93
2022-03-02 18:00:00,2022-03-02 19:00:00,19.5,32.0,2.27,21.08,13.05,6.12,5.65,0.77,23.48,0.28,0.57,29.4,52.25,0.97,265.75,13.25,,-0.1,0.17,0.0,22.93
2022-03-02 19:00:00,2022-03-02 20:00:00,20.5,38.0,2.7,26.23,14.05,5.75,5.38,0.82,19.92,0.55,1.07,28.78,56.75,0.93,270.0,12.0,,-0.1,0.15,0.0,22.3
