REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1908,AB,Barley,15.0,1585.0,84000.0,129800.0,53000.0,1296
1908,AB,Flaxseed,29.0,950.0,1900.0,5900.0,2000.0,56
1908,AB,Oats,18.0,1675.0,352000.0,519400.0,210000.0,6316
1908,AB,"Rye, all",23.0,1665.0,5000.0,6500.0,3000.0,117
1908,AB,Sugar beets,0.55,18100.0,38100.0,5200.0,2100.0,208
1908,AB,Tame hay,0.84,5050.0,101000.0,57100.0,20000.0,846
1908,AB,"Wheat, all",25.0,1690.0,186000.0,271000.0,110000.0,4617
1908,BC,Barley,0.0,0.0,0.0,0.0,0.0,0
1908,BC,Oats,0.0,0.0,0.0,0.0,0.0,0
1908,BC,"Wheat, all",0.0,0.0,0.0,0.0,0.0,0
1908,CA,Barley,21.0,1440.0,1016850.0,1745700.0,707100.0,21353
1908,CA,"Beans, all dry (white and coloured)",59.0,1395.0,33800.0,59900.0,24200.0,1988
1908,CA,Buckwheat,27.0,1320.0,155700.0,291300.0,117950.0,4269
1908,CA,Corn for grain,20.0,3935.0,580600.0,365800.0,147600.0,11834
1908,CA,Corn for silage,0.44,25360.0,2665000.0,259800.0,105100.0,11812
1908,CA,Flaxseed,38.0,680.0,38100.0,139300.0,56000.0,1457
1908,CA,Mixed grains,26.0,1650.0,388750.0,581900.0,235550.0,10140
1908,CA,Oats,25.0,1205.0,3861650.0,7911100.0,3200550.0,96489
1908,CA,"Peas, dry",31.0,1150.0,192100.0,412900.0,167050.0,5970
1908,CA,"Rye, all",29.0,1065.0,43902.0,100300.0,41281.0,1262
1908,CA,Sugar beets,0.58,22500.0,98900.0,10800.0,4400.0,578
1908,CA,Tame hay,1.17,3120.0,10388000.0,8210900.0,3326000.0,121884
1908,CA,"Wheat, all",30.0,1145.0,3060250.0,6610300.0,2676250.0,91228
1908,MA,Barley,18.0,1390.0,372000.0,662500.0,268000.0,6705
1908,MA,Flaxseed,38.0,790.0,7100.0,23400.0,9000.0,273
1908,MA,Oats,21.0,1290.0,690000.0,1322800.0,535000.0,14263
1908,MA,"Peas, dry",15.0,1415.0,850.0,1600.0,600.0,13
1908,MA,"Rye, all",20.0,1000.0,3000.0,6300.0,3000.0,61
1908,MA,Tame hay,0.82,3900.0,195000.0,119200.0,50000.0,1592
1908,MA,"Wheat, all",31.0,1145.0,1368000.0,2957000.0,1197000.0,41924
1908,MP,Barley,31.0,1525.0,11750.0,19000.0,7700.0,369
1908,MP,Mixed grains,27.0,1855.0,20850.0,27700.0,11250.0,556
1908,MP,Oats,31.0,1120.0,221450.0,487900.0,197450.0,6786
1908,MP,Tame hay,1.08,3470.0,2211000.0,1573800.0,637000.0,23955
1908,MP,"Wheat, all",38.0,1085.0,29950.0,68400.0,27650.0,1150
1908,NB,Barley,32.0,1215.0,1700.0,3500.0,1400.0,55
1908,NB,"Beans, all dry (white and coloured)",77.0,1125.0,900.0,2000.0,800.0,69
1908,NB,Buckwheat,27.0,1375.0,34250.0,61700.0,24950.0,909
1908,NB,Corn for silage,0.39,22860.0,8000.0,900.0,350.0,31
1908,NB,Mixed grains,27.0,1440.0,3100.0,5300.0,2150.0,85
1908,NB,Oats,33.0,945.0,78000.0,203900.0,82500.0,2539
1908,NB,"Peas, dry",43.0,590.0,650.0,2700.0,1100.0,28
1908,NB,"Rye, all",29.0,1260.0,102.0,200.0,81.0,3
1908,NB,Tame hay,1.03,3010.0,845000.0,694500.0,281000.0,8664
1908,NB,"Wheat, all",42.0,1165.0,9500.0,20200.0,8150.0,402
1908,NS,Barley,33.0,1550.0,6050.0,9600.0,3900.0,202
1908,NS,"Beans, all dry (white and coloured)",81.0,1200.0,1500.0,3100.0,1250.0,121
1908,NS,Buckwheat,30.0,1340.0,9800.0,18000.0,7300.0,295
1908,NS,Corn for silage,0.33,16920.0,11000.0,1600.0,650.0,36
1908,NS,Mixed grains,30.0,1785.0,5350.0,7400.0,3000.0,161
1908,NS,Oats,34.0,1210.0,65450.0,133900.0,54200.0,2224
